YEAR,CAPSITE,HABITAT,CAPDATE,MANIPULATED,BNDCREW,CAPTIME,SPECIES,LOCATION,BAND,COLOR,AGE,SEX,CAPMAS,CAPFAT,CAPBM,CAPBMS,BILLEN,BILLWID,BILLDEP,WING,TARSUS,TAIL,FTHCOL,BLOOD,FECAL,BANDER,CP,BP,BODY MOLT,FF MOLT,MOLT LIMIT,CYCLE CODE,TAG TYPE,TAG NUM,STATUS CODE,NOTES,HEMLEN,TOTLEN,BLOOD NOTES,DEPDAT,DEPTIME
1986,LP,,1-Nov-86,,AMRE,1620,AMRE,NA,1440-12301,"R/A,Bi",HY,F,6.4,5,NA,NA,8.90,4.70,2.60,58.00,15.20,51.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,"FRESH, ECTOPARA ++",,,,,
1986,LP,,1-Nov-86,,AMRE,1650,AMRE,NA,1440-12302,"O/A,Bi",ASY,M,7.4,5,NA,NA,7.80,4.60,2.80,61.00,17.40,52.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,"FRESH NO ECTO, DORSUM-BODY RT OUT TAIL PIN",,,,,
1986,LP,,1-Nov-86,,AMRE,1720,AMRE,NA,1440-12303,"Y/A,Bi",U,M?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,ESCAPED,,,,,
1986,LP,,2-Nov-86,,AMRE,859,AMRE,NA,1440-12304,"B/A,Bi",U,F?,6.9,0,NA,NA,7.80,4.50,2.70,57.00,16.40,50.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,"NO ORANGE, AHY F?",,,,,
1986,LP,,2-Nov-86,,AMRE,1025,AMRE,NA,1440-12305,"K/A,Bi",ASY,M,7.4,5,NA,NA,7.90,5.10,2.80,62.50,17.00,52.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,"LIGHT BODY MOLT DORSUM-BREAST-NECK, TAIL COVERT",,,,,
1986,LP,,2-Nov-86,,AMRE,1138,AMRE,NA,1440-12306,"W/A,Bi",ASY,M,7.4,5,NA,NA,7.80,4.80,3.00,62.50,16.70,52.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,"LIGHT BODY MOLT DORSUM-BREAST-NECK, TAIL COVERT",,,,,
1986,LP,,2-Nov-86,,AMRE,1515,AMRE,NA,1440-12307,"A/R,Bi",AHY?,F?,6.6,5,NA,NA,7.40,4.40,2.50,59.00,15.80,53.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,YELLOW - NO ORANGE ASY?,,,,,
1986,LP,,2-Nov-86,,AMRE,1640,AMRE,NA,1440-12308,"A/O,Bi",ASY,M,7.5,5,NA,NA,8.90,4.60,2.80,61.00,16.50,50.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,SALMON ON TAIL AND BREAST,,,,,
1986,LP,,2-Nov-86,,AMRE,NA,AMRE,NA,1440-12310,"A/Y,Bi",U,F,7.0,5,NA,NA,7.90,4.80,2.80,57.50,17.30,47.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,YELLOW - ORANGE TINGE ASY?,,,,,
1986,LP,,3-Nov-86,,AMRE,800,AMRE,NA,1440-12312,"A/B,Bi",U,F,NA,5,NA,NA,7.90,4.40,2.60,56.50,NA,49.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,EVEN FAULT BANDING ON TAIL ASY?,,,,,
1986,LP,,3-Nov-86,,AMRE,945,AMRE,NA,1440-12313,"A/K,Bi",ASY,M,7.2,5,NA,NA,7.80,4.10,2.80,61.00,16.90,51.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,LP,,3-Nov-86,,AMRE,1000,AMRE,NA,1440-12315,"A/W,Bi",ASY,M,7.3,0,NA,NA,8.50,4.20,3.00,64.50,16.80,53.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,LP,,3-Nov-86,,AMRE,1045,AMRE,NA,1440-12316,"Bi,R/A",HY?,F?,6.9,0,NA,NA,8.20,4.60,2.80,58.50,18.20,53.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,VERY YELLOW FAULT BARRING EVEN HY? PLUCK,,,,,
1986,RO,,5-Nov-86,,AMRE,855,AMRE,NA,1440-12323,"Bi,O/A",ASY,M,7.4,0,NA,NA,9.40,5.30,2.70,61.00,16.90,52.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,RO,,5-Nov-86,,AMRE,927,AMRE,NA,1440-12324,"Bi,Y/A",ASY,M,7.7,5,NA,NA,7.80,5.10,2.70,60.00,16.20,50.50,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,FAULT BARRING EVEN ON TAIL,,,,,
1986,RO,,5-Nov-86,,AMRE,1052,AMRE,NA,1440-12325,"Bi,B/A",ASY,M,6.7,5,NA,NA,7.20,4.80,2.80,60.00,16.10,49.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,RO,,6-Nov-86,,AMRE,955,AMRE,NA,1440-12326,"Bi,K/A",ASY,M,7.8,5,NA,NA,7.90,4.90,3.00,62.50,17.50,53.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,RO,,6-Nov-86,,AMRE,1028,AMRE,NA,1440-12327,"Bi,W/A",HY,F?,6.9,1-,NA,NA,8.30,4.80,3.10,57.50,16.40,50.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,"TAIL FEATHERS OFF BLACK, HEAD GRAY, BACK OLIVE",,,,,
1986,CO,,10-Nov-86,,AMRE,900,AMRE,E-6,1440-12338,"Bi,A/R",ASY,M,7.3,5+,NA,NA,7.40,4.90,2.90,64.50,16.70,55.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,FEATHERS FRESH,,,,,
1986,CO,,10-Nov-86,,AMRE,925,AMRE,E-7,1440-12339,"Bi,A/O",ASY,M,7.3,1-,NA,NA,7.70,4.80,2.90,61.00,15.50,50.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,KP,,12-Dec-86,,AMRE,1640,AMRE,NA,1440-12342,"Bi,A/B",ASY,M,7.4,5,NA,NA,8.50,4.20,2.60,63.00,NA,51.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,CO,,14-Dec-86,,AMRE,810,AMRE,NA,1440-12348,"Bi,A/K",SY,M,6.7,0,NA,NA,8.50,3.60,3.10,59.00,17.20,52.00,N,N,N,LR,NA,NA,NA,NA,NA,NA,NA,NA,N,"1 BK FEATHER 5MM BELOW RIGHT EYE, 8MM",,,,,
1986,CO,,14-Dec-86,,AMRE,840,AMRE,NA,1440-12350,"Bi,A/W",ASY,M,7.1,0,NA,NA,8.70,3.90,2.70,64.00,18.70,52.00,N,N,N,LR,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,KP,,15-Dec-86,,AMRE,NA,AMRE,NA,1440-12353,"R,A/Bi",HY,F?,7.6,1,NA,NA,7.30,4.40,2.70,59.00,17.40,52.00,N,N,N,LR,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,KP,,15-Dec-86,,AMRE,NA,AMRE,NA,1440-12355,"O,A/Bi",ASY,M,6.5,5,NA,NA,6.90,4.40,2.60,61.00,17.70,52.00,N,N,N,LR,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,LU,,18-Dec-86,,AMRE,1600,AMRE,C.5-4,1440-12364,"Y,A/Bi",ASY,M,7.1,0,NA,NA,8.20,4.40,3.00,61.00,17.60,53.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,LU,,18-Dec-86,,AMRE,1630,AMRE,C-7,1440-12365,"B,A/Bi",ASY,M,NA,5,NA,NA,7.50,3.90,2.90,64.00,NA,56.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,LP,,20-Dec-86,,AMRE,1550,AMRE,C-3,1440-12366,"K,A/Bi",ASY,M,7.0,0,NA,NA,7.20,3.70,2.80,64.50,17.20,53.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,LP,,21-Dec-86,,AMRE,940,AMRE,C.7-11.2,1440-12308,"A/O,Bi",ASY,M,6.7,0,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,LP,,21-Dec-86,,AMRE,915,AMRE,D-12.5,1440-12367,"W,A/Bi",ASY,M,6.5,0,NA,NA,7.90,3.40,2.70,61.00,17.20,54.00,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,,,,,,
1986,RO,,22-Dec-86,,AMRE,955,AMRE,NA,1440-12368,"R,Bi/A",U,F?,6.7,0,NA,NA,6.80,4.80,2.50,NA,17.90,15.40,N,N,N,RTH,NA,NA,NA,NA,NA,NA,NA,NA,N,HY?,,,,,
